group,process,phase,family,backend,dtype,size,elements,bytes,transfer_mode,iterations,elapsed_ms,per_iteration_ms,uploads,downloads,compute_passes
reduction,1,hot,reduction,cpu,float32,1048576,1048576,4194304,none,3,108.593,36.197666,0,0,0
reduction,1,cold,reduction,gpu,float32,1048576,1048576,4194304,none,1,263.825,263.825,0,0,1
reduction,1,hot,reduction,gpu,float32,1048576,1048576,4194304,none,3,792.97205,264.324,0,0,3
reduction,2,hot,reduction,cpu,float32,1024,1024,4096,none,10,0.55,0.055,0,0,0
reduction,2,cold,reduction,gpu,float32,1024,1024,4096,none,1,1.149,1.149,0,0,1
reduction,2,hot,reduction,gpu,float32,1024,1024,4096,none,10,6.1349998,0.6135,0,0,10
reduction,2,hot,reduction,cpu,float32,65536,65536,262144,none,10,22.463999,2.2463999,0,0,0
reduction,2,cold,reduction,gpu,float32,65536,65536,262144,none,1,17.303999,17.303999,0,0,1
reduction,2,hot,reduction,gpu,float32,65536,65536,262144,none,10,162.91,16.291,0,0,10
reduction,2,hot,reduction,cpu,float32,1048576,1048576,4194304,none,3,107.73,35.91,0,0,0
reduction,2,cold,reduction,gpu,float32,1048576,1048576,4194304,none,1,263.734,263.734,0,0,1
reduction,2,hot,reduction,gpu,float32,1048576,1048576,4194304,none,3,791.395,263.79834,0,0,3
reduction,3,hot,reduction,cpu,float32,1024,1024,4096,none,10,0.569,0.056900002,0,0,0
reduction,3,cold,reduction,gpu,float32,1024,1024,4096,none,1,1.148,1.148,0,0,1
reduction,3,hot,reduction,gpu,float32,1024,1024,4096,none,10,5.314,0.5314,0,0,10
reduction,3,hot,reduction,cpu,float32,65536,65536,262144,none,10,22.717999,2.2717998,0,0,0
reduction,3,cold,reduction,gpu,float32,65536,65536,262144,none,1,17.418001,17.418001,0,0,1
reduction,3,hot,reduction,gpu,float32,65536,65536,262144,none,10,164.73299,16.473299,0,0,10
reduction,3,hot,reduction,cpu,float32,1048576,1048576,4194304,none,3,108.715,36.23833,0,0,0
reduction,3,cold,reduction,gpu,float32,1048576,1048576,4194304,none,1,263.377,263.377,0,0,1
reduction,3,hot,reduction,gpu,float32,1048576,1048576,4194304,none,3,789.68,263.22665,0,0,3
reduction,4,hot,reduction,cpu,float32,1024,1024,4096,none,10,0.573,0.0573,0,0,0
reduction,4,cold,reduction,gpu,float32,1024,1024,4096,none,1,1.004,1.004,0,0,1
reduction,4,hot,reduction,gpu,float32,1024,1024,4096,none,10,6.058,0.60580003,0,0,10
reduction,4,hot,reduction,cpu,float32,65536,65536,262144,none,10,22.831001,2.2831001,0,0,0
reduction,4,cold,reduction,gpu,float32,65536,65536,262144,none,1,16.709,16.709,0,0,1
reduction,4,hot,reduction,gpu,float32,65536,65536,262144,none,10,164.895,16.4895,0,0,10
reduction,4,hot,reduction,cpu,float32,1048576,1048576,4194304,none,3,112.683,37.561,0,0,0
reduction,4,cold,reduction,gpu,float32,1048576,1048576,4194304,none,1,263.968,263.968,0,0,1
reduction,4,hot,reduction,gpu,float32,1048576,1048576,4194304,none,3,791.26105,263.7537,0,0,3
reduction,5,hot,reduction,cpu,float32,1024,1024,4096,none,10,0.60700005,0.060700007,0,0,0
reduction,5,cold,reduction,gpu,float32,1024,1024,4096,none,1,1.158,1.158,0,0,1
reduction,5,hot,reduction,gpu,float32,1024,1024,4096,none,10,5.4199996,0.54199994,0,0,10
reduction,5,hot,reduction,cpu,float32,65536,65536,262144,none,10,25.838001,2.5838,0,0,0
reduction,5,cold,reduction,gpu,float32,65536,65536,262144,none,1,17.074,17.074,0,0,1
reduction,5,hot,reduction,gpu,float32,65536,65536,262144,none,10,165.29199,16.5292,0,0,10
reduction,5,hot,reduction,cpu,float32,1048576,1048576,4194304,none,3,123.332,41.11067,0,0,0
reduction,5,cold,reduction,gpu,float32,1048576,1048576,4194304,none,1,263.669,263.669,0,0,1
reduction,5,hot,reduction,gpu,float32,1048576,1048576,4194304,none,3,791.067,263.689,0,0,3
reduction,6,hot,reduction,cpu,float32,1024,1024,4096,none,10,0.593,0.059299998,0,0,0
reduction,6,cold,reduction,gpu,float32,1024,1024,4096,none,1,1.153,1.153,0,0,1
reduction,6,hot,reduction,gpu,float32,1024,1024,4096,none,10,5.731,0.5731,0,0,10
reduction,6,hot,reduction,cpu,float32,65536,65536,262144,none,10,22.794,2.2794,0,0,0
reduction,6,cold,reduction,gpu,float32,65536,65536,262144,none,1,17.054998,17.054998,0,0,1
reduction,6,hot,reduction,gpu,float32,65536,65536,262144,none,10,163.229,16.3229,0,0,10
reduction,6,hot,reduction,cpu,float32,1048576,1048576,4194304,none,3,107.932,35.977333,0,0,0
reduction,6,cold,reduction,gpu,float32,1048576,1048576,4194304,none,1,264.21698,264.21698,0,0,1
reduction,6,hot,reduction,gpu,float32,1048576,1048576,4194304,none,3,792.64703,264.21567,0,0,3
reduction,7,hot,reduction,cpu,float32,1024,1024,4096,none,10,0.617,0.061699998,0,0,0
reduction,7,cold,reduction,gpu,float32,1024,1024,4096,none,1,1.155,1.155,0,0,1
reduction,7,hot,reduction,gpu,float32,1024,1024,4096,none,10,6.299,0.6299,0,0,10
reduction,7,hot,reduction,cpu,float32,65536,65536,262144,none,10,23.019001,2.3019001,0,0,0
reduction,7,cold,reduction,gpu,float32,65536,65536,262144,none,1,16.905,16.905,0,0,1
reduction,7,hot,reduction,gpu,float32,65536,65536,262144,none,10,163.41101,16.3411,0,0,10
reduction,7,hot,reduction,cpu,float32,1048576,1048576,4194304,none,3,109.461,36.487,0,0,0
reduction,7,cold,reduction,gpu,float32,1048576,1048576,4194304,none,1,264.307,264.307,0,0,1
