engine,repetition,case,iterations,load_ms,measure_ms,raster_ms,total_ms,width_milli,height_milli,lines,nonzero,alpha,rss_bytes
candidate,5,pressure_first,640,0.0,41.809986,432.46866,474.278646,311210000,12800000,640,4136458,722097919,123600896
candidate,6,pressure_first,640,0.0,40.49401,414.42783,454.92184,311210000,12800000,640,4136458,722097919,123584512
candidate,7,pressure_first,640,0.0,41.641018,428.40475,470.04576799999995,311210000,12800000,640,4136458,722097919,123568128
candidate,1,pressure_revisit,640,0.0,11.612008,440.1594,451.771408,311210000,12800000,640,4136458,722097919,167624704
candidate,2,pressure_revisit,640,0.0,11.560005,437.84384,449.403845,311210000,12800000,640,4136458,722097919,167641088
candidate,3,pressure_revisit,640,0.0,11.538002,434.13486,445.672862,311210000,12800000,640,4136458,722097919,167624704
candidate,4,pressure_revisit,640,0.0,11.785006,439.36993,451.154936,311210000,12800000,640,4136458,722097919,167624704
candidate,5,pressure_revisit,640,0.0,11.883001,442.69012,454.57312099999996,311210000,12800000,640,4136458,722097919,167608320
candidate,6,pressure_revisit,640,0.0,11.555006,437.10995,448.664956,311210000,12800000,640,4136458,722097919,167641088
candidate,7,pressure_revisit,640,0.0,11.803008,443.43903,455.242038,311210000,12800000,640,4136458,722097919,167641088
